,리뷰
2367,기대를 너무 많이해서 실망도 컷네요ㅠ 리뷰사진과 다르게 배달되어 실망...바삭하다고 했는뎅 저는 눅눅해서 더 실망ㅠㅜ 맛은 괸찮았습니다.
2370,리뷰보고 시켜봤는데..기대이하.. 맛이 넘 강하고 튀김이 두껍딱딱한 느낌..
2379,치킨이 식어서 왔지만 나름 맛과 양은 만족해요
2408,역시나 단골등극입니다 맛있게 잘 먹었습니다 그런데 배달이... 오자마자 상태보고 정말 막말나오는거 와이프가 말려서 겨우 참았습니다 다음부터는 조심해 주셨으면 합니다 소스가 다 엎질러져서 왔습니다
2411,다시는 안먹을려고요. 한시간이면 온다더니 두시간이 지나도 안와서 전화해보니 무슨 배달대행업체 핑계만되고 사과한번 하는게 그렇게 어려운지 따지기 전까지 오히려 자기들 잘못아니라는 태도가 영 별로네요.
2415,절대 비싼 값 하지 않습니다
2419,배달한시간넘게걸렸지만 배달원센스있게파리에서오느라늦었다하고 ㅋ 금욜이라바쁜걸감안합니다 애들하고 아주맛있게먹었어요
2422,닭비린냄새가 마니 나요ㅠ
2425,설마펩시는 아니겠지했는데 펩시에서 마이너스 치킨 눅눅하고 식어서 옴 마이너스 바쁜시간대라 이해해도 마이너스 치킨무는 맛있고 편리하게온부분 굿 제발 맛만있어라 리뷰 간지나게 갈길거다 마음먹었는데 아쉬운부분
2430,1 완전 다타서 옴. 2. 새로 보내주심 감사 3. 같이드시는 분들한테 욕먹는중. 심지어 닭다리가 맛이 없을수가 있냐고함. 4. 감자는 맛있다고 함 5. 모두들 살면서 이렇게 맛없는 닭은 처음이라고... 6. 야구장 앞에서 파는 저질닭같음.
2435,맛남 맛남 괜춘합니다 순살없대서 못먹었지만
2436,요즘 흔한 브랜드의 치킨들과는 다른 맛이 확실히 있는거 같습니다. 처음 먹어보는것에 두려움을 확 깨버린 맛있는 치킨이였습니다.^^ 앞으로 자주 시켜먹을거 같네요~~ 로제/일반 양념 맛있어요~~ 강추!!!! 아!! 배달 속도는 아쉽습니다.ㅠㅠ 치킨이 눅눅해져서 온거 같은??? 느낌은 있었네요..
2443,간장맛 솔직한 후기입니다. 진짜 대박 맛있었습니다!!!! 3가지맛 소스에 찍어 드시는것도 강력추천!!! 여자친구와 너무 감탄을 하면서 맛있게 아주아주 잘 먹었습니다. 꼭!!! 소스와 함께 드시는거 추천추천!!! 사장님 정말 맛있게 먹었어요~~^^ 글 쓰면서도 맛이 생각 나네요~~
2463,엄청 느끼해요 배달도 너무 느리고ㅠㅠ 식히고 먹으니까 그래도 그나마 먹을만했어요
2510,배달때매 먹기도싫어짐
2519,시킨지 정확하게 1시간40분만에 온 배달 그래도 신경이라도 써주셨으면 덜했을텐데 호일에 일부러 구멍내신건가요?? 무슨 국물이 다새서 이것저것 할거없이 양념이 다묻어서 왔네요 덕분에 배고픈데 일일이 세척해서 먹네요 ㅋㅋㅋ
2521,맛있고 배달도 빠르고 좋아요
2533,아니 배달시킨지가 언젠데 안오는지 한시간 반넘었어여 ㅡㅡ
2534,오다리튀김이 3천원 어이가 없네요 이건정말 아닌것 같은데 여긴 별점주는것도 아깝네요 한주먹 양 정말 이런식으로 장사해도 될까요
2542,크리스피치킨인데 너무 눅눅하고 얇아서 옛날치킨으로 주문 잘못들어간줄알았어요 배달도 너무 느리고 다 눅눅하고 정말 화가 납니다.이런 치킨을 1시간 20분 기다렸어요..
2547,맛없음. 후라이드치킨 배달시켰는데 치킨이 눅눅하고 쓴맛같은게 느껴졌음. 돈이 아까워서 반 먹다가 나머지는 죄다버림.. 같이먹은 신랑도 맛없다고했음
2555,다좋아요 언제먹어도맛있어요
2563,비도 안오는데 왜 비닐과 박스 다 젖어서 왔을까요?? 닭강정이 별로여서 다른메뉴를 시켜봤는데 역시나 튀김옷만 가득하네요
2564,그저그런쏘쏘맛입니다
2569,마니 느끼하네요 ㅡㅡ
2581,너무 느끼해요 기름도 오랜된거같아요 ㅡㅡ
2606,오늧 닭 상태가 별로네요. 멍도 많고 ㅠ
2607,오늘은 너무 눅눅해서 실망이네요...
2613,맛없어요.. 튀김이 눅눅하고 오래된맛이에요
2619,예전에는 맛있게 먹었던걸로 기억하는데;; 튀김옷 왤케 얇아졌고 닭도 되게 작은 걸 쓰시나요...?
2647,양이 너무적네요... 순살인줄 알았으면 안시켰을텐데 순살이라고 표기되있으면 좋았을거같네요 맛은있는데 양이 너무적어서 아쉽습니다
2648,65분걸린다더니..1시간30분이지나도오질안네요..요기요로시키면유난히늦는거같네요..다시는시키는일없을듯요
2652,예전에 시킨후 오랜만에 시켰는데 배송은 좋았습니다. 감튀와 돈가스는 보통이었습니다. 그러나 오튀는 작은 쪼가리들이었고 통닭도 기름이 많았습니다. 샐러드는 양배추 풋내가 심했고 드레싱은 아주 많았지만 아주 짰어요...
2692,종종 시켜먹었었는데 오늘 정말 이상하네요 기름에 절었다고 해야하나... 배달도 늦었지만 그것때문인건지 눅눅하고 기름에 쩔은 맛이 나요 전에는 바삭하고 맛있었는데 왜 이러나요...ㅠㅠ
2713,바삭하고 얇은 튀김옷을 좋아해서 종종 시켜먹었는데 오늘시킨 후라이드는 아주 별로였어요 튀김과 닭사이 지방같은 기름이 뭉쳐있어 느끼했고 눅눅 튀김만 뭉쳐있기도하고 실망했어요 또 먹고싶단생각이 안드네요 감튀도 눅눅 완전별로 별하나도아까워요
2715,예상보다 15분 지났는데 일단 더기다려 보겠습니다...
2717,사진을 잘안찍어서 치킨이 눅눅하고 튀김옷맛도 옛날치킨하고 거리가 멀었어요 다리두쪽먹구 다버림
2722,배달느려요 맛이랑양은 보통이요.
2728,파똥집은 일반적인 닭똥집과 완전 다릅니다. 애들이나 좋아할듯... 통닭은 맛은 일반적이나 양이 적네요.
2734,기름을 얼마나 오래된걸 쓴건지 튀김 감자칩 색깔이 누렇네 뒷맛도 안좋고
2737,맛은 그런대로 닭은 뭐 작음
2741,아니 끝날 시간 되나까 풀어지셨나 감자 다 설 익혀서 오고 칠리 소스2개 시켰는데 체다치즈 오고 어쩌자는 건지
2742,배달만 빠르면 굿임
2744,너무너무 맛있는데 배달이 느려영
2753,새벽한시에 주문했는데 많이 바쁘신가봐요 65분소요라니..
2760,배달이 너무아쉬웠어요 원래도 65분걸릴다햇는데 80분조금넘엇네요 ..
2762,배달은늦음. 맛은좋음
2766,그냥 옛스러운맛??
2768,통닭은 먹을만한데 오다리 튀김은 냄새도 좀나고 기름이 줄줄흐르네요
2779,배달 누락되서 두시간뒤에와서 너무 슬펐어요 심지어 그리 멀지않은곳에 시켰었는데 누락되다니...실망입니다ㅜ 양이 좀 적었어요 대부분의 사람들이 좋아할만한 부위만 주셨더라구여ㅋㅋ 그래도 맛은 괜찮았어요ㅎㅎ 오짱이 너무 양이 적은거 빼곤 앵간빠뚜루♡
2786,부담없이 맛있고 좋았는데 생각보다 양이 적네요
2802,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
2818,양도적도 기름쩐내는 오지고 배달가격은 1000원 별도고 이건 뭐... 최악임
2820,배달이늦은거말곤괜춘
2821,제가 옛날감성이 아니어서그런지 뭔가 튀김옷이 시스루입은느낌이었음 ㅋㅋㅋㅋㅋㅋㅋ 맛은 있었구요 시스루를 입은 치킨이어서긍가... 양이 적어보였..
2823,음...제가 양이 적은편이라 부족하진않았는데 배고픈 성인분들 비추입니다~ 꼭 배고프지않아도 4조각이라 적은양입니다. 리뷰보니까 전체적으로 양이 많은 편은 아닌듯...그리고 배달금액 맞추려고 시킨 오징어튀김...^^ 사진찍어둘걸그랬네요 너무 양이 적어요. 요즘 3000원이면 다른곳도 이렇게주진않는데 첫주문에 기대를 많이했네요ㅋㅋ 좋은리뷰들만있어서^^* 그냥 맛도 다들 알고있는 옛날통닭맛입니다. 옛날통닭 드시고싶으신분들은 단품말고 콤보?세트로 되있는거 드시면될듯싶어요! 가격을 올리고 좀 더 괜찮은 양으로 판매하는것도 나쁘지않을것같네욥
2831,1시간기다림 넘늦어요 ....
2844,처음으로 리뷰 남겨보네요 65분 걸린다해놓고 95분 걸렸어요 오래 걸린것보다도 미리 전달해준 배달시간과 차이가 심한것에 더 기분이 상합니다 배달시간 오래 걸린다는점 참고하고 주문하시면 좋겠습니다
2854,11:50 분에 시키고 1:20 분에 받았어요. 다른집 문앞에다 놓고 가셨다는데 새로 해서 가져다 주신것도 아니고 차게식은거 그냥 가져다 주셨네요. 밖에 영하 10 도라는데... 배달 음식 시키고 이렇게 찬 음식은 첨 받아봐요.
2858,너무 늦게 배달옴 1시간 30분 걸렸어요
2860,배달이 너무느리네요 맛은 나쁘지안씁니다 오다리나 감자튀김은 생각보다실망이네요
2891,맛도 있고 양도 많음 배달은 조금 늦음
2905,처음 시켜먹었을 때 너무 맛있어서 두번정도 더 시켰는데 맛이 바꼈네요.. 닭강정 같지도 않고 기름많은 순살에 양념만 바른거같아요. 왜 맛이 바뀌거죠ㅠㅠ
2907,강정인데 흐물흐물거림 튀김옷이 녹아내리는중 먹으면서 기름덩어리도 몇번씩뱉어냄
2959,짠음식을 안좋아 하시는 분들께는 추천하는데 닭비린내도 조금 나고 뭔가 이도저도 아닌 맛...짜거나 달거나 맵거나 뭔가를 했으면 좋겠는데 짜지도 달지도 맵지도 않아서 맛이 없음..입안에 음식이 들어갔는데 맛이 안느껴짐
2960,맛은 그렇게 맛있는건 모르겠구 그냥 그럭저럭 먹을만은해요
2963,맛은 있는데 양이 적음 그돈으로 또 사먹을까? 할인되면 먹지 그돈으로는 음
2969,ㆍ
2976,솔직히그래요ㅈ그냥~~~~~
2977,배달이 너무늦네요 치킨튀기는데 매번 소요시간이 항상 60분이넘어감 이제다신안시켜먹을라고요 오늘은 80분걸리네요
2994,맛은 있으나 가격대가 좀 높아서 담에는 안먹을듯
3006,대체 언제 오나요 1시간 지났는데도 아직 안왔습니다
3007,배달이... 미리알린 65분보다늦게오고 다식어서 와서 감자튀김은 눅눅하고 치킨은 기름기가 조금씩 귿어있네요... 맛은 사이드메뉴라그런지 술안주정도? 치킨을 먹을거면 이거말고 다른게나을거같네요
3012,진짜 너무 느끼해서 먹다가 버릴정도 입니다... 다음부턴 안시켜먹을게여
3037,배달이 너무오래걸렸네요 60분 걸린다고했는데 90분이넘었네요 그래서인지 닭도마니식어서 그럭저럭먹었어요
3040,배달은 늦었지만 튀김옷도 얇고 바삭바삭 너무 맛있었어요~ ^^ 자주 주문할께요~
3056,맛있어요 !! 배달이 조금 늦엇어요
3060,처음시켜봤는데 미취학 아이들이 잘먹네요ㅎㅎ양념은양도 많아요.감자튀김도 넉넉히 넣어주셔서 좋았어요
3065,예정시간보다 50분 더 늦었네요
3079,맛은 쏘쏘한데 배달완전짜증나네요 현금결제라고했는데 잔돈도안가져오고 처음에 보쌈이라면서 우린치킨시킨건데..배달원완전해매고 다른집갔다오시고..정말배달대행업체신거같은데..제대로쓰세요
3091,옛날통닭은 예상과 달리 기름기가 많고 빙밍한 맛이며 닭 자체가 상당히 작네요.
3094,옛날통닭 맛있어요. 배달시간은 길었지만요
3096,옛날통닭이랑 여느치킨의 중간쯤 되는거 같다. 옛날치킨이라고 하기에는 다른 옛날통닭집에 비해 별로다. 한번 시켜먹었으면 충분한 정도의 맛이다.
3108,옛날통닭 정말 맛있습니다. 요즘 치킨은 여기서만 먹네요. 다만 양이 상당히 적으며 배달업체를 따로 써서 그런지 치킨이 항상 식어서 옵니다.
3154,치킨 맛있구 배달원 좀 ...예의가 없네 .
3175,치킨배달에 문제가있을지몰랐음
3195,배달도 느리고 안에 닭이 덜익어서 왔어요
3201,음료 빼고 와서는 둘러대는 배달은 좀 그렇네요
3209,맛있어요 생각보단 덜맵지만 편하게 먹기좋아요
3223,너무 기름지고 다른 집에 비해 넘 맛이 없어요.
3246,먹는 도중에 길다란 머리카락이 치킨에 같이 구워져 나왔네요 ㅠㅠ 이젠 두번다시 굽네치킨은 못먹을듯 토나올려고해요
3293,볼케이노? 어떻게 이리 퍽퍽하게 요리가 될까요? 박살 좋아하는 분 강추. 오마이갓 내돈
3307,양이 좀 적은 것 같은 느낌이고 괜찮긴 하지만 다음에 또 시키겠다는 생각은 들지 않습니다.
3315,양적음 맛좋음 육질신선
3320,소스가 넉넉하질 못해서 치밥하기가 힘들어요 ㅠㅠ
3326,병아리 구워 오시는건가요? 날개가 뭐 거의 손가락 반마디 정도 되네요. 참
3417,별루 안맵고 싱거웠어요
3474,평소에 자주 시켜먹어서 만족하고 있었는데 오늘따라 맛이 좀 쓰고 이상하네요... 다음에는 안이랬으면 좋겠어요
3480,남자둘이서 시켜서 먹었는데 두세조각 먹고 긴 머리카락이 나왔네요...양념에 파묻혀서.. 위생에 조금더 신경 써주시길 바랍니다ㅠㅠㅠ
3516,생각보다 양이 많지안지만 양념 맛있어서 괜찮아요.
3518,ㅗㅗㅗㆍ광고보고시켰는데 별로임ㅡㅡ안익은걸 갖다줌
3540,양념을 묻히다가 말았나봐요.
3544,일단 시간은 오래 걸려도 맛이 좋으면 그냥 넘어갈수 있는데 기름이 너무 오래된것같았어요 반반 시켰는데 냄새도 너무 심하고 깨끗하지 않는 기름을 써서 그런지 확실히 맛이 떨어지고 고기에서 기름냄새까지나고 배고팠음에도 불구하고 좀 먹다 다 버렸네요... 요즘 점점 BHC 실망이네요
3547,너무식어서 옴 맛이변했나?
3549,평소 귀찮아서 리뷰 안남기는데 너무 기분이 나빠서 리뷰 남깁니다. 주소 호수를 잘못 적어서 배달 기사님 착오 생길까봐 미리 정정 하려고 전화를 드린건데 받자마자 짜증섞인 말투로 다짜고짜 출발했다는 말만하고 제가 정중히 주소 호수 변경 말씀 드리니 “환장하겠네ㅡㅡ”라뇨..? 제가 무슨 취소를 했나요? 메뉴를 바꿨나요? 배달 왜 이렇게 안오냐고 무슨 재촉 전화라도 했나요? 미리 알려드리려 전화한건데 정말 어이가 없네요 맛은 둘째치고 서비스 때문에 다시는 이용하고 싶지 않는 지점이네요
3568,양념치킨소스가 맛이 좀 강한데 소스양도 많아서 닭들이 소스에 잠겼어요. 저에게는 너무 짜고 달고 했네요. 소스양을 줄이셨으면.
3569,솔직히 별로였어요 ..
3609,맛이 별루...
3627,후라이드 시켰느네 이상한 냄새나요.. 플라스틱 타는 냄새 기름좀 바꾸셔야 할듯 싶습니다 양 배달은 만족합니다
3712,가루가 너무 많이 들어가서 짜요 ㅠ
3721,맛있어요양은다른데에비해별루
3731,사악한 가격에 only퍽퍽살. 순살은 안시켜먹어야겠네요..
3734,배달이 너무 빨랐고 양이 많아요~ 하지만 뿌링클 맛은 제 입맛에 안 맞아요 ㅠ.ㅠ
3736,전부다 그냥 산 닭가습살너무 맛없어요.이런 순살 처음이요 대발 다 버렸어요
3759,닭이 여러번 튀겨졌는지 많이 질겨서 먹다뱉다했어요 ㅠㅠ 전엔 맛있게 먹었는데 실망이 크네요;;
3828,…………………………………
3832,낚임........
3833,맛있는데 양이적음 ㅠㅠㅠ
3859,기대이하맛입니다다다
3860,솔까말 맛이 왔다갔다 하네요.어떤날은 바삭 튀겨지고 어떤날은 흐느적거리고..
3875,제 입맛에는 좀 짜욥.. 양은 그런대로. .
3885,맛초킹을 좋아해서 자주먹는데 지점마다 맛차이가 심하네여 ㅠㅜㅠㅠ 찹쌀탕수육같은 그 튀김느낌을 좋아해서 찾아먹는데 바삭함이란 하나도없고 튀김인가싶을정도였어요
3889,맛있어요~ 항상 여기서 주문합니다. 배송직원분도 친절하셔서 좋네요
3904,맛초킹 양념이 덜됐어요 싱겁습니다 ...
3915,갈비오레인가? 이거 양 창렬이네요 이정도 양이 18000원이라니....맛은 괜찮은데 이정도 양이면 굽네 갈비천왕이 양도 더 많고 맛도 괜찮은 거 같네요.... 놀라서 인터넷 검색해보니 원래 양이 적은거라는데 다시는 안 먹을꺼 같아요
3997,제가 26년 살면서 먹어본 양념치킨중 제일 최악.
4016,맛있어요 다음에 또시켜먹을게요ㅎㅎ
4070,치킨은 다맛있지 비린내가 약간났어요 배달45분 걸린다했는데 1시간걸리고 심지어 걸어서 1분거리임
4121,그냥 중곡점이 훨씬낫네요
4126,치킨은 언제나 늘맛있음
4135,양이랑 맛은 늘 맘에 들어요ㅠ 하지만 이날 몰래 시켜먹는거라 전달사항으로 몰래 배달 해달라고 부탁드렸는데 창고 문 앞에 치킨 두고 가신건 좋았지만 현관문에 노크를 하셔서.. 아버지한테 들켰어요. 마스크는 감사해요~
4181,배달이 좀 늦네요.. 치킨도 식어서 오고.. 맛은 괜찮아서 잘 먹었습니다
4233,바삭하니맛은있었는데..금요일이라그런건지 너무늦게왔어요
4287,짜고.. 튀김 옷은 겁나 크고... 흠
4367,배달이 많이 늦네요 맛은 맛납니다
4413,맛은 별로 양은 푸짐 배달 빠름 그래도 다른 메뉴는 맛있음!!
4415,치킨...달달구리한게... 메뉴선택이 실패엿어요ㅜ 배달은 잘가져다주셧어욥
4431,미안하지만 양 오바 ..튀김딱딱 마덥뜸
4435,비에이치씨 신제품이라 시켰는데 맛은 좀... 그냥 달고 ㄴ끼해요~ 그래도 서비스는 좋아요. 다음엔 마초킹으로 먹어야겠어요
4503,개인적으로 바삭클인데 심하게 바삭한 편은 아니더군요 그냥 양념안된 순살치킨 맛이였어요
4531,맛은 확실히 있더군요. 근데 양이 너무너무하더라구요. 치킨 두명이서 나눠먹고 밥 1공기씩 더 먹어도 배가 부르질 않더라구요. 양이 너무 적어요.
4682,한두개 덜익은게 아니라 반이상이 덜익었어요. 핏기뿐만리. 아니라 고기자체가 투명해요. 처음이 두개는 ㄱㅊ았는데 3개째에서 일반 익은 고기 식감이 아닌 생고기마냥 질깃하고 쫄깃하길래 뭐지하고 뱉었는데 덜익었네요. 그 다음부터 손으로 일일히 해체해서 익은거만 골라먹었더니 배도안차고...배달시간이 지나치게 빨라서 뭐지했는데 다음에는 바삭 익혀주세요. 자주 시켜먹었는데...다음에는 잘해주세요.
4719,붐바스틱이 기대보다 맛없네요
4740,맵고 맛나요~~~^^*중독 중독
4828,닭냄새 민감해서 전화까지해서 바싹 튀겨달라니 딸 잘라 말하시더라구요 자기넨 냄새 안난다고 말투에서 요청한데로 안해주실것 같더라니 역시나 핏기가 보이네요 여기 아녀도 시켜먹을 곳도 많고 다른 브랜드도 많습니다 고객입장에서 조금더 귀기울이시져 사진보다 더 많이 핏기가 있었는데우리집 개가 먹어버려서 조금 남은것만 올렸립니다 더한가지 넘 짜요 ㅜㅜ
4839,맛있어요~~~ 상상 하는 그맛 치킨 부들부들 ~~ 좋아요
4849,배달느려요 1시간 지남
4888,구소홓ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
4924,예전에 편의점에서 팔던 닭꼬치 좋아했는데 딱 그 느낌이에요 살 야들야들하고 소스는 달달짭쪼롬하면서 주르륵 흐르는 그 정도 닭다리 3갠가 4개들었고 나머지는 뼈없는 넙적살이고요 맛있긴 맛있는데 양이 참 적어요 많이 먹는편이 아닌데 둘이서 밥이랑 같이 먹었는데도 배가 덜 차요ㅠ 양 &가격 만족도는 별 3개도 좀 아까워요 대신 맛있긴 참 맛있었어요
4945,갈비레오 처음 먹어봤는데 떡갈비소스맛이었어요 :) 굳이 비유를 하자면? 양은 적당했고 중간에 밥이 생각나서 햇반도 데워서 먹으니까 배불러 죽겠더라구요ㅋㅋㅋㅋㅋ나름 모험 성공? 나쁘지 않았어요~ 잘먹엇습니다!
4960,간장치킨시켰는데그냥후라이드로 그것도다말라비틀어진몋번튀긴 먹다남은듯한튀김을보냈습니다
4964,윙이..ㅋㅋㅋㅋㅋㅋ 양념이된건지 외관상으론 모르겠는데 먹어보면 양념이돼어있고ㅋㅋㅋㅋㅋㅋ
4982,역시 맛나네요. 배달은 진짜로 65분 걸렸지만..
4994,생각보단별로네요
5007,아직 배달이 안왔는데.. 리뷰작성해달라니ㅜㅜㅜㅜ
5013,역시 배달은 느리네요. 1시간이 기본..ㅡㅡ 맛은 좋아요.
5035,일단 앞으로 더 이상은 사장님네 점포로 주문하지 않겠습니다. 배달용 팩무가 없다고 홀에서 쓰시는 치킨무를 그것도 시큼한국물 질질 흐르고있는 저 상태로 주시면서.. 양해를 구하시는것도 아니고 전화를 해서 물어보니 답변을 주시는군요... 사장님께 대단한 고객은 아니겠지만 제 주문내역엔 젤 많은 매장이었는데 당연한듯 당당한 그 무성의함에 처음으로 이런 리뷰남깁니다
5048,저입맛에는안맞네요 양념특히별로였음
5051,배달시간 좀 늦는거야 어쩔수 없지만 치킨이 차갑게 식어서 옴.
5059,감튀 딱딱 배달 늦음
5064,맛은두말할것도없이맛있어요~배달시간이오래걸린거빼면..아마도할인요일이라주문이많아서인듯..저렴하게맛있는치킨먹어서좋은화욜입니다~~
5065,기름범벅 두번다신 안이킴
5072,항상시켜먹었는데 배달이 좀 늦었네요..
5087,시간이 2시간 반.. 오래걸렸어요
5092,BHC VIP고객만큼 많이먹어본 사람인데 튀김부터가 너무 오래되보이네요.. 보통 튀김이 황금빛이거나 노래야하는데 여긴 황토색튀김..딱봐도 갈지않은 기름으로 튀긴것 같네요
5097,구의에서 제일 맛난 촉촉하고 바삭한 치킨♡
5143,좀 늦지만 늘 맛있어요!
5154,너무 짜고  또한번 다른거 시킨게 타고 배달도 1시간 기다렸고 .... 비추입니다
5158,좀 자극적인 맛
5173,최근들어 인기가 많아져서 그런지 계속 치킨이 오버쿡 되거나 식거나 그러네요 이제 안먹을것 같습니다
5177,전화는 통하지도 않고. 주문한지가 두시간 넘었어요. 배달못해주면 문자라도 해야는거 아닌가요?
5182,한시간 넘었는데 아직도 배달 안왔어요
5187,ｂｈｃ점점 실망이에요 닭상태두 그렇구 맛듀 그렇구 ㅜ 닭이 너무 커러 징그러워요.. 치레카는 첨 시켜봤능데 3명이서 다 남겼네요;;; 치느님을.... 예전처럼 맛있지가 않아서 다른 치킨집 배달 찾는중이에요 ㅠ
5189,양념치킨을 시켰는데 인삼치킨이 온건가요......??? 치킨에서 인삼같은맛과 향이 너무 강하게 납니다... 적당히나면 건강한맛이라 생각하겠는데.. 치킨에서 양념맛이 1도 나질않았어요..
5193,배달 존나 느리네 1시간20분이 걸려 사과도 없고
5194,치킨 매니아인데 방금 튀겨서 온 치킨이 아님. 튀김 눅눅함 배달원 불친절
5206,아...스윗츄는 생각보다 별로에요 주문 요구 할때 바삭하게 해달라고까지 썼는데 세상 눅눅합니다....바삭한 부분이 거의 없도 다 눅눅라고 기름진 느낌이었어요...다음부턴 주문요구사항 꼭 봐주세요 제발..
5210,맛은 있는데 배달이 진짜 너무 늦네요ㅜㅜㅜ 배달 갑자기 밀린거라 이해는 되지만 이렇게 늦게 온적은 처음이에요.....그래도 맛있어요..ㅋㅋㅋ 양도 많고 정성스럽게 만들어주신것 같아서 돈이 안아까워요 스윗츄 완전 맛있어요!
5211,55분 걸린다더니 1시간10분째 안오는중 장사를하는건지 안하는건지
5219,맛 양 다 괜찮은데 주문이 몰린 시간이라 배달이 꽤 늦어요
5226,맛있었습니다!! 그런데 양이 적어서 아쉬웠어요ㅠㅠ 배달은 연초라 그런지 1시간정도 걸렸습니다 직접 접으신 것 같은 복주머니가 정말 감동적이었습니다ㅠㅠ 새해 복 많이 받으세요~
5231,스윗츄가 궁금해서 시켜봤는데.. 음...........제 입맛에는 별로였던거 같아요
5232,맛도있고 양도 적당했고 배달은 너무 느리고
5234,그냥 치킨너겟 튀겨서 소스 발라놓은 맛.. 양은 꽤 많았고 배달도 주소 변경했는데 잘 가져다주셨어요
5244,배달 시간 장난아닌데 너무 늦게 온다
5246,메뉴주문에 품절인지뭔지 뿌링클순살밖에 없고 배달도 오래걸리고 눅눅하고 양파도 붙어있네요..
5255,양이 원래 이렇게 작은가요?? 움푹 패여있고;;; 다른 영업점 준비중이라 여기 시켰는데 앞으론 안시킬것 같아요 다른데서 시켰을 땐 한번 먹고도 또 다시 배 채울 수 있을 만큼은 남는데 여긴 한번 먹고나니까 세네조각 남았네요
5263,젓가락좀 같이넣어주세요
5278,나무젓가락이없어요 맛은잇다만
5283,배달느린거빼면괜찮아요
5289,친절하게 배달해주시고 할인 받아서 싸게 잘 먹었습니다 근데 양이 너무 적네요 ㅠㅠ 할인쿠폰 써서 그런가... 젓가락 안주셔서 손으로 먹었어요ㅠㅠ 다음엔 젓가락도 꼭 챙겨주세요^^
5304,좀만 더 뜨듯했으면 좋겠어요. 배달은 한시간걸렸어요
5306,다 좋은데 배달이 너무 오래 걸리네요 70분째 대기중..
5320,맛은 둘째치고요 배달이 친절도가 죽여주네요 이딴곳은 첨보네 참 친절합니다 교육같은건 코로 배웠나봐요 전화예절 굳입니다 다신 안시켜요~
5322,옛날에 앱으로 주문안하고 뿌링클 시켰을때는 바삭바삭하고 가루도 많이 뿌려져있어서 너무 맛있게 먹은 기억이 있는데 오랜만에 요기요앱으로 할인받아 주문하니 퀄리티가 너무 달라지네요 튀김옷도 진짜 너무 눅눅하고 튀김옷 벗겨진 조각도있고.. 가루는 군데군데 안묻어있구요 치킨무는 얼어서 온것도 아니였는데 너무물렁해서 한입먹고 버렸어요 ㅠㅠ 진짜 치킨무는 왜 물렁한거죠..? 전체적으로 너무 실망입니다.............
5334,뿌링클을 시켯는데 소스를 안주면 어쩌자는건가요;;;;
5339,여기서 자주 시켜먹었었는데 이번엔 되게 실망이네요.. 치킨도 진짜 질기고 튀김옷도 너무 두껍고 질기고.. 맛도없고... 무슨 어제 튀킨 치킨마냥 정말 별로였어요... 심지어 45분걸린다면거 거의 한시간 걸리고 사이다 시킨거 오지도 않고... 치킨이랑 같이먹을라고 시킨건대 다먹고나서 보내주지를 않나... 그냥 되게 실망이네요..
5340,배달진짜느려요..........거의2시간기다렸어요
5343,길게썼다가 잘못눌러서 다 지워졌네요. 닭비린내랑 밀가룩 반죽맛이 아주 맛있는 곳 헛구역질했네요
5344,배달은 다른 곳과 비슷하게 45분-50분 정도 걸렸는데 치킨도 눅눅해져서 오고 콜라도 2개 시켰더니 하나밖에 안와서 전화했는데 그것마저 45분 뒤에 옴 다시는 안먹을듯
5370,튀김 굉장히 딱딱하고 재탕느낌나네요
5385,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ홓ㅎㅎㅎㅎ
5387,다 좋은데 배달이 좀 늦으셨네요..
5396,눅눅하고 배달이 느려여
5406,이렇게맛없는 뿌링클 처음먹어봤구요~ 클레임저나걸었더니 주의한다고하네요;;; 치킨이 너무기름지고 뿌링클가루도 골고루안발라져있어서 ㅋㅋ 후라이드치킨먹는줄알았어요 ㅋㅋㅋ 첨에 클레임저나걸었을때 받으신분은 본인은잘모른다면서 통화중에 저나를 끊지를않나;;ㅋㅋ 본사클레임걸뻔했어요~^^ 아그리고 배달시간은 아주 퍼팩트하더라구요 ㅎ 무튼간에 여기는 쿠폰이따로안나가고 배송전단지 하단을 참조하래요
5418,일단 40분 걸린다하고 1시간 걸려서 옴. 양은 많아서 좋았음. 근데 과장하지 않고 바삭한 식감 0이였음. 뿌링클 먹었는데 가루는 많이 묻어있지만 눅눅 그자체.
5436,그저그런 보통 이하다
5438,자메이카보다 맛없음...
5439,아무리 맛있더라도 배달 거의 2시간 걸리는 게 좀 아닌 것 같아요. 아직도 기다리는 중... 참...
5445,배달은 오래걸렸지만 다른매장과차별화된 데코가 굿굿 다만 봉지에담긴 무는....
5447,껍질이 다 탔고 결정적으로 소스가 맛없어요. 진짜 무슨 맛인지 모르겠습니다. 소스 진짜 개맛없어ㅡㅡ 짜증남
5450,맛있는데 양이 적네요. --
5469,배달 너무 느려요.. 바쁠시간도 아닌데... 맛있긴한데 튀김옷에ㅠ양념이 좀 더 베어있었으면 좋겠슺니당
