,리뷰
413,리뷰가괜찮아서 남자친구 시켜줬는데 맛은그닥인거같더라구요
421,하....공기밥 하나추가했는데 하나만 왔네요 ㅡㅡ 장난하세요??
428,거의 수분이 없는 고기같네요. 1시간 기다려서 먹을건 아닌듯..
450,고기양념 너무짜고 석쇠 불맛이 없음
461,엉망진창입니다. 2시간 걸려 음식을 배달해놓고도 태연하게 제대로 된 사과 한마디 없는 배달원과 주인의 태고에 기겁했네요. 냉장고에 넣어둔것 같은 차가운 고기를 2만원이나 주고 먹었습니다. 정말 최악입니다.
467,배달 느린거 빼곤 괜찮아요
474,돼지냄새가 심하게나네요..
477,먹을만해요 김치찌게 국물이좀 적어요 고기비계많음 그래도 나쁘지않음
506,피자샵정말자주시켜먹는데 이번엔 다흘러내려서 집고먹을수가없어서 말아서먹었습니다 실망이에요
512,45분 대기였는데 그 이후로도 20분은 더 기다렸어요 주문하고 먹기까지 1시간 반은 걸린것같아요 전화해보니 배달할때 다른 곳 들렸다가 오신다고 하더라구요.. 바쁜건 이해하지만 ㅠㅠ.... 피자는 맛있었지만 배달이 늦어서 피자가 식었었고 너무 오래 기다려서 다음부턴 여기서 안먹을 것 같아요 M사이즈 크기도 작고 음료도 따로 사야해요
513,50분 소요 된다고 했는데 1시간넘어서 왔어요 음식도다식고 짜고 예전보다 더 짜요
567,구매평이 좋아서 시켜봤는데.. 이건뭥죠 50분 걸린다고 맛나게 먹을생각에 기대하고 기다리고 있었는데 1시간40분넘도록 안와서 매장에 전화했더니 직원이 누락시킨거 같다고 하네요 처음 주문했는데..너무나도 실망스럽네요 ㅠ
568,짜요짜요 ㅠㅠㅠㅠㅠㅠㅠ
577,단골집인데 배달이 80분걸린다고 해서 그러려니 기다렸는데 2시간이 다 되서 왔네요. 늦어지면 미리 전화해서 양해를 구했으면 좋았을텐데... 1시간반이 지나서 전화를 몇번 했는데 안받더니 요기요번호로는 전화가 불통되고.. 본번호로 전화하니 그제서야 받아서 이러쿵저러쿵.. 서비스만족도 최악이네요.. 단골이었는데 또 시켜먹게될지 모르겠네요...
581,피자가오는데 콜라도안주는집처음봐여 맛도더신경쓰셔야할듯해요 .
587,정말 맛있었습니다 양도 훌륭하고 감자도 많이 들어있네요 고로 1점 박고갑니다^^
595,너무 늦게왔어요..ㅠ
609,맛있었어요~~~~~~~~~~~~~
611,지점이 멀어서 그럴 수 있지만 배달속도만 빼면 굳굳!!
635,매번 주문할 때마다 만족했었는데 이번에는 굉장히 아쉽네요... 사진에서 알 수 있듯 올리브 피망 양파 등등 재료가 많이 누락되었네요.. 불금에 행복한 야식을 기대했는데 기분까지 망쳐버렸네요.. 재료가 부족했으면 연락이라도 주셨으면 메뉴 변경이라도 했을텐데 한두번 주문한것도 아니었는데 매우 섭섭하네요.
664,배달느린데맛은있어요 특히소스
671,?????????????????
674,1시간30분째기다리는중
675,굿굿굿굿 좋네요 ㅎㅎ
680,맛있어요ㅋㅋㅋㅋ 불고기 피자는 그냥 저냥 다른건 맛나요 ㅌㅋ
689,배달만 좀 빨라졌으면 좋겠어요ㅠㅠ
693,배달 느린것만 빼면 진짜 짱이에요ㅠㅜㅜ
698,치즈가류는 오지도 않고 피자는 식어빠지고 스파게피는 말라서옴
699,배달은 문자로 온것보다 20분이나 더 걸렸구요 맛도 그냥 그저그래요 이정도 피자집은 요새 많은 것 같아요 배달시키실분들 시간주의하세요
714,배달은 빨랐는데 고구마 무스 때문에 눅눅해지고 다 들러 붙어서 도우만 먹은거같네요 ㅠㅠㅠㅠ 그래도 맛은 good!
723,예전에 너무 맛있었는데 여기 사장님이 바뀌셨나 오랜만에 시켜먹었는데 너무 많이 달라졌네요 피자는 기름잔뜩있고 피자를 너무 크게 만드신건지 박스에 꽉붙어서 다 늘러붙고 맛도 예전같지 않네요
758,피자전문점인데 맛은 그렇지 않음. 가격은 착해서 좋은데 그 맛에 먹는 느낌. 피클이랑 디핑소스같은 것만 차별화될뿐. 피자에 들어가는 토핑 괴랄함. 항상 재주문하지 말아야지 생각하는데 싼 맛에 가끔 시키는 정도? 배달하시는 분은 친절한데 전화 받는 사람(주인장이겠지만) 건성으로 받고 불친절함. 다른 피자집 먹는걸 추천
812,주소 제대로 썼는데 저희집 말고 다른데로 가져가셔서 전화로 다시 말씀드리고 그 사이에 피자 다 식어서 맛이 없었습니다 포크도 안가져다주시고 치즈가루 추가했는데 핫소스만 두개 주셨어요 다음부터는 안먹게요 장사 잘하세요
815,콜라안가져와서ㅠ 다시가지러 가심 고구마피자에 머스타드를 너무 뿌려서 고구맛하나도 안나고 역한맛남 소스너무짜요
821,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
835,배달 좀 신경 써 주세요
846,불고기보단 통마늘불고기가 더 맛있는것같아요ㅠ
850,다른 사람이 시켰다가 취소한걸 가져온건지 배달을 하다 다른데에 들렀다 온건지 피자는 다 식어서 딱딱하고 도우에 물기까지 있었습니다. 그리고 주문한 콜라는 안 가져 왔다고 나중에 따로 사두 주시고.. 자주 시켜 먹었는데 이번것은 정말 반품파고 싶을 정도로 최악이었습니다. 아이가 배고프다고 해서 그냥 먹었지만 이런식으로 배달하시는건 아니라고 생각합니다.
853,맛있었다 약간 뻑뻑함이 없잖아 있었지만
860,맛있게 잘먹었습니다
861,맛있어서 맨날 시켜먹는데 배달도 너무 오래걸리고 피자에 기름이 넘쳐흘렀어요.. 원래 안그랬는데..많이 바쁘신가바여
