업체명,카테고리,메뉴,맛,양,배달,리뷰,date
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(계란찜 추가))물냉면/1스팸주먹밥/1,2.0,3.0,4.0,양은 무척 많네요.... 근데 너무 짜요. 냉면 육수도 짜고 고기도 짜서 같이 먹을수가 없어요~ 그래서 육쌈은 포기했습니다. 되려 밥이랑 찌개시켜서 먹음 괜찮을듯도 해요. 음식은 간만 빼면 깔끔했습니다,2017년 11월 2일 목요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))육쌈비빔냉면 1인/1(고기 선택(매콤)),3.0,3.0,3.0,그냥 그래욥....,2018년 1월 12일 금요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))육쌈비빔냉면 1인/1(고기 선택(광양)),4.0,5.0,3.0,고기는 맛있어요 비냉시켰는데 물냉와서 다시기다리느라 오래기달렸네요,2018년 1월 17일 수요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))육쌈비빔냉면 1인/1(고기 선택(광양)),5.0,5.0,5.0,양념고기가참맛나네요 물냉은 상상하는 그 맛이구요 비빔양념은 매콤합니다. 양이많아서 다못먹었어요;;번창하세요,2017년 12월 26일 화요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))육쌈비빔냉면 1인/1(고기 선택(광양)),5.0,5.0,5.0,정말 강추합니다. 가격이 살짝 비싸도 야식이라 그냥 시켰는데 불고기 질이 정말 좋아요. 다른 육삼냉면 고기하고 비교 안 되요. 양도 많고요. 냉면이랑 처음 먹을 때는 몰랐는데 다 먹고 나니 좀 물릴정도로 양이 많아요. 포장도 꼼꼼이 잘 해 주셔서 하나도 안 흘렀고요,2017년 10월 21일 토요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))육쌈물냉면 1인/1(고기 선택(매콤)),5.0,5.0,5.0,맛있고 배달빠르고 전화응대도 친절하네요 고기 매운맛보다 석쇠를 추천합니다,2017년 12월 3일 일요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양))고기왕만두/1,5.0,5.0,5.0,사장님 배달이 언제쯤 올까용ㅜㅠ,2018년 1월 9일 화요일
전주석쇠불고기-본점,한식,육쌈 비빔냉면/1(고기 맛 선택(매콤))공기밥/1계란찜/1김치찌개/1콜라 1.25L/1,5.0,5.0,5.0,처음 먹어봤는데 맛있었어요 석쇠불고기 집이니 다음번엔 꼭 불고기를 먹어야겠어요!,2017년 10월 10일 화요일
전주석쇠불고기-본점,한식,육쌈 물냉면/2(고기 맛 선택(매콤)),5.0,5.0,5.0,맛있어용 자주 시켜먹을거같아요,2017년 10월 13일 금요일
전주석쇠불고기-본점,한식,싱글삼겹바베큐（김치찌개＋공기밥1＋밑반찬＋소스＋쌈）/1(추가 선택(（토핑）소세지 추가)),4.0,4.0,4.0,가성비가 너무 좋네요,2018년 3월 31일 토요일
전주석쇠불고기-본점,한식,싱글삼겹바베큐（김치찌개＋공기밥1＋밑반찬＋소스＋쌈）/1,5.0,5.0,5.0,그냥 믿고시켜먹는곳ㅎㅎ,2018년 5월 6일 일요일
전주석쇠불고기-본점,한식,싱글삼겹바베큐（김치찌개＋공기밥1＋밑반찬＋소스＋쌈）/1,5.0,5.0,5.0,정말 푸짐하고 배부르고 맛있게 잘먹었습니다.,2018년 4월 18일 수요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（3~4인）（공기밥3＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(계란찜 추가)),4.0,5.0,5.0,맛있게 잘 먹었습니다~~~,2017년 12월 9일 토요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（3~4인）（공기밥3＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)),5.0,5.0,5.0,맛있어요.3인분시켜서 3명이서 배부르게 먹었어요,2018년 1월 12일 금요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（3~4인）（공기밥3＋김치찌개＋밑반찬＋쌈）/1(고기 선택(광양)),5.0,5.0,5.0,너무 맛잇어요 쭈삼 ㅋ 다만 김치찌개가 만족할정도는 아니공 그냥 보통맛이라 아쉽네용,2017년 10월 22일 일요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（2~3인）（공기밥2＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(계란찜 추가)),5.0,4.0,5.0,맛있게 먹었어요~ 쭈삼시켰는데 너무 작은 쭈꾸미만 몇개있었지만 오징어를 몇개 넣어주셔서 이해하며 먹었네요ㅎ 포장도 깔끔하게 오고 계란찜도 딱 좋았어요. 고기양념이 너무 맛있는데 고기가 조금 부족했어요~그래도 재주문 생각 200%입니다:),2017년 12월 9일 토요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(쌈 추가)),4.0,4.0,4.0,항상 잘 먹고 있습니다. 이벤트로 주신 음료 잘 마실게요^^,2017년 12월 27일 수요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(쌈 추가)),4.0,4.0,3.0,오늘은 배달이 예상 소요시간 보다 길었네요 하지만 친절한 응대로 기분은 안나빴어요,2017년 12월 17일 일요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤))열무물냉면/1,5.0,5.0,5.0,맛은 항상 진리다 ㅋㅋ,2017년 10월 29일 일요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)),1.0,1.0,2.0,솔직히 맛은 없어요... 리뷰좋아서 시켰는데 실망이예요 쭈삼시켰는데 쭈꾸미는 어딨는지 .... 김치찌개는 너무 텁텁하고 어느정도는 이해하겠는데 조미료맛이 너무 심하네요,2018년 1월 20일 토요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)),4.0,4.0,4.0,벌써 3번째 주문! 배달도 빠르구 양도 나쁘지 않구 야채도 깨끗하게 세척 되어있구 포장도 깔끔한데 이번에는 서비스로 온 김치찌개의 국물이 샜네요.. 다음에는 신경 써주세요,2017년 12월 6일 수요일
전주석쇠불고기-본점,한식,석쇠쭈삼불고기（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(고기 선택(광양)추가 선택(계란찜 추가)),4.0,4.0,4.0,매콤 말고 광양 시켜봤는데..이것도 제 입맛에 맞네요! 계란찜은 물기가 너무 많음,2017년 12월 16일 토요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（中／800g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(냉열무국수)추가 선택(참치주먹밥 추가)),5.0,5.0,5.0,Good~Good~Good~~!!!,2018년 2월 21일 수요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（中／800g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(냉열무국수)추가 선택(계란찜 추가)),5.0,5.0,5.0,쭈꾸미양이 생각보다 적지만 그래도 양념이 너무 맛잇엇어요 ㅎㅎ,2018년 3월 29일 목요일
